id,category,ar,tr,translit,emoji,withBi,definite,note
yellow_light,traffic,الضَّوْءُ الأَصْفَر,sarı ışık,aḍ-ḍawʾ al-aṣfar,🟡,,,
green_light,traffic,الضَّوْءُ الأَخْضَر,yeşil ışık,aḍ-ḍawʾ al-akhḍar,🟢,,,
q_where_to,questions,إِلى أَيْنَ؟,nereye?,ilā ayna,❓,,,
q_from_where,questions,مِنْ أَيْنَ؟,nereden?,min ayna,❓,,,
q_how,questions,كَيْفَ؟,nasıl?,kayfa,❓,,,
q_by_what,questions,بِماذا؟,ne ile?,bimādhā,❓,,,
q_when,questions,مَتى؟,ne zaman?,matā,❓,,,
q_with_whom,questions,مَعَ مَنْ؟,kiminle?,maʿa man,❓,,,
q_is,questions,هَلْ؟,mi / mı?,hal,❓,,,
q_what,questions,ماذا؟,ne?,mādhā,❓,,,
walking_mode,modes,مَشْيًا,yürüyerek,mashyan,🚶,,,
land_mode,modes,بَرًّا,kara yoluyla,barran,🛣️,,,
sea_mode,modes,بَحْرًا,deniz yoluyla,baḥran,🚢,,,
air_mode,modes,جَوًّا,hava yoluyla,jawwan,✈️,,,
usually,modes,عادَةً,genellikle,ʿādatan,🔁,,,
holiday,time,في العُطْلَةِ,tatilde,fī al-ʿuṭla,🏖️,,,
every_morning,time,كُلَّ صَباحٍ,her sabah,kulla ṣabāḥ,🌅,,,
friday,time,يَوْمَ الجُمُعَةِ,cuma günü,yawm al-jumuʿa,📅,,,
evening,time,مَساءً,akşamleyin,masāʾan,🌆,,,
morning,time,صَباحًا,sabahleyin,ṣabāḥan,🌅,,,
fast_f,comparatives,سَريعَة,hızlı,sarīʿa,⚡,,,
slow_f,comparatives,بَطيئَة,yavaş,baṭīʾa,🐢,,,
old_f,comparatives,قَديمَة,eski,qadīma,🏚️,,,
modern_f,comparatives,حَديثَة,yeni / modern,ḥadītha,✨,,,
faster_than,comparatives,أَسْرَعُ مِنْ,-den daha hızlı,asraʿu min,⚡,,,
slower_than,comparatives,أَبْطَأُ مِنْ,-den daha yavaş,abṭaʾu min,🐢,,,
older_than,comparatives,أَقْدَمُ مِنْ,-den daha eski,aqdamu min,🏺,,,
newer_than,comparatives,أَحْدَثُ مِنْ,-den daha yeni,aḥdathu min,✨,,,
longer_than,comparatives,أَطْوَلُ مِنْ,-den daha uzun,aṭwalu min,📏,,,
bigger_than,comparatives,أَكْبَرُ مِنْ,-den daha büyük,akbaru min,➕,,,
smaller_than,comparatives,أَصْغَرُ مِنْ,-den daha küçük,aṣgharu min,➖,,,
father,people,أَب,baba,ab,👨,,,
mother,people,أُمّ,anne,umm,👩,,,
sister,people,أُخْت,kız kardeş,ukht,👧,,,
brother,people,أَخ,erkek kardeş,akh,👦,,,
uncle,people,عَمّ,amca,ʿamm,👨,,,
grandfather,people,جَدّ,dede,jadd,👴,,,
merchant,people,تاجِر,tüccar,tājir,🧑‍💼,,,
doctor_f,people,طَبيبَة,kadın doktor,ṭabība,👩‍⚕️,,,
engineer_f,people,مُهَنْدِسَة,kadın mühendis,muhandisa,👩‍💻,,,
student_m,people,طالِب,erkek öğrenci,ṭālib,👨‍🎓,,,
student_f,people,طالِبَة,kız öğrenci,ṭāliba,👩‍🎓,,,
driver,people,سائِق,şoför,sāʾiq,🚘,,,
