id,patternId,ar,tr
s044,directions_sequence,اُعْبُرِ الطَّريقَ وَاتَّجِهْ إِلى اليَسارِ.,Yolu geç ve sola yönel.
s045,side_location,مَحَطَّةُ المِتْرو عَلى اليَمينِ.,Metro istasyonu sağdadır.
s046,time_exit,أَخْرُجُ مِنَ المَدْرَسَةِ في السّاعَةِ الثّالِثَةِ.,Saat üçte okuldan çıkarım.
s047,time_exit,تَخْرُجُ مِنَ المَكْتَبَةِ في السّاعَةِ السّادِسَةِ.,Saat altıda kütüphaneden çıkar.
s048,return_from_to,أَرْجِعُ إِلى البَيْتِ مَساءً مَشْيًا.,Akşam eve yürüyerek dönerim.
s049,instrument,تَذْهَبُ أَليف إِلى المَكْتَبَةِ بِالْمِتْرو.,Elif kütüphaneye metroyla gider.
s050,instrument,تَذْهَبُ أَليف بِالحافِلَةِ إِلى المَدْرَسَةِ.,Elif okula otobüsle gider.
s051,comparative,القِطارُ أَطْوَلُ مِنَ الحافِلَةِ.,Tren otobüsten daha uzundur.
s052,comparative,الطّائِرَةُ أَسْرَعُ مِنَ السَّيّارَةِ.,Uçak arabadan daha hızlıdır.
s053,side_location,أَنا أَمامَ المَدْرَسَةِ.,Ben okulun önündeyim.
s054,side_location,المُسْتَشْفى عَلى يَسارِ الشّارِعِ.,Hastane caddenin solundadır.
s055,side_location,المَكْتَبَةُ عَلى يَمينِ المَدْرَسَةِ.,Kütüphane okulun sağındadır.
s056,side_location,المَوْقِفُ أَمامَ المُسْتَشْفى.,Durak hastanenin önündedir.
s057,directions_sequence,ساعِدْ مُراد في الوُصولِ إِلى السّوقِ القَديمِ.,Murad’ın eski pazara ulaşmasına yardım et.
s058,how_route,اِشْرَحْ طَريقَ الوُصولِ إِلى المَدْرَسَةِ.,Okula ulaşma yolunu açıkla.
s059,instrument,أَنا أَذْهَبُ إِلى المَدينَةِ المُنَوَّرَةِ بِالطّائِرَةِ.,Medine’ye uçakla giderim.
s060,instrument,أَنا أَذْهَبُ إِلى بورْصَةَ بِالسَّفينَةِ.,Bursa’ya gemiyle giderim.
