id,title_tr,title_ar,pattern_ar,pattern_tr,note_tr,source_pages,tags,examples,slots,audio_key
p011,Satıcı karşılama,تحية البائع,أَهْلًا وَسَهْلًا، أَيُّ خِدْمَةٍ؟,"Hoş geldiniz, nasıl yardımcı olabilirim?",Bakkal/pazar rol oyunlarının başlangıç kalıbıdır.,"[64, 67, 76]","[""dialogue"", ""greeting""]","[{""ar"": ""أَهْلًا وَسَهْلًا، أَيُّ خِدْمَةٍ يا سَيِّدي؟"", ""tr"": ""Hoş geldiniz, nasıl yardımcı olabilirim efendim?""}]",{},u2_pattern_p011
p012,Satıcının ürün sayması,ذكر المنتجات,عِنْدي {item1}، {item2}، و{item3},"Bende {ürün1}, {ürün2} ve {ürün3} var.",و son unsurdan önce bağlaçtır.,[64],"[""dialogue"", ""vocabulary""]","[{""ar"": ""عِنْدي طَماطِمُ، خِيارٌ، وجَزَرٌ."", ""tr"": ""Bende domates, salatalık ve havuç var.""}, {""ar"": ""عِنْدي تُفّاحٌ، بُرْتُقالٌ، ومَوْزٌ."", ""tr"": ""Bende elma, portakal ve muz var.""}]","{""item1"": [""طَماطِمُ"", ""تُفّاحٌ""], ""item2"": [""خِيارٌ"", ""بُرْتُقالٌ""], ""item3"": [""جَزَرٌ"", ""مَوْزٌ""]}",u2_pattern_p012
p013,Ucuz karşılaştırması,المقارنة بالرخص,{item1} أَرْخَصُ مِنْ {item2},"{ürün1}, {ürün2}den daha ucuz.",Karşılaştırmada مِن kullanılır.,"[52, 67, 74, 82]","[""comparison"", ""price""]","[{""ar"": ""العِنَبُ أَرْخَصُ مِنَ التُّفّاحِ."", ""tr"": ""Üzüm elmadan daha ucuz.""}, {""ar"": ""البَصَلُ أَرْخَصُ مِنَ المِشْمِشِ."", ""tr"": ""Soğan kayısıdan daha ucuz.""}]","{""item1"": [""العِنَبُ"", ""البَصَلُ"", ""التُّفّاحُ""], ""item2"": [""التُّفّاحِ"", ""المِشْمِشِ"", ""المَوْزِ""]}",u2_pattern_p013
p014,Pahalı karşılaştırması,المقارنة بالغلاء,{item1} أَغْلى مِنْ {item2},"{ürün1}, {ürün2}den daha pahalı.",أغلى genellikle fiyat karşılaştırır.,"[52, 67, 74, 82]","[""comparison"", ""price""]","[{""ar"": ""الفاصوليا أَغْلى مِنَ البَطاطا."", ""tr"": ""Fasulye patatesten daha pahalı.""}, {""ar"": ""المَوْزُ أَغْلى مِنَ التُّفّاحِ."", ""tr"": ""Muz elmadan daha pahalı.""}]","{""item1"": [""الفاصوليا"", ""المَوْزُ"", ""المِشْمِشُ""], ""item2"": [""البَطاطا"", ""التُّفّاحِ"", ""البَصَلِ""]}",u2_pattern_p014
p015,Boyut karşılaştırması,المقارنة بالحجم,{item1} أَكْبَرُ/أَصْغَرُ مِنْ {item2},"{ürün1}, {ürün2}den daha büyük/küçük.",Büyük/küçük karşılaştırmaları nesne özellikleri için kullanılır.,"[52, 72, 74]","[""comparison"", ""size""]","[{""ar"": ""البُرْتُقالَةُ أَكْبَرُ مِنَ الكَرَزَةِ."", ""tr"": ""Portakal kirazdan daha büyük.""}, {""ar"": ""الكَرَزَةُ أَصْغَرُ مِنَ البُرْتُقالَةِ."", ""tr"": ""Kiraz portakaldan daha küçük.""}]","{""item1"": [""البُرْتُقالَةُ"", ""الكَرَزَةُ""], ""item2"": [""الكَرَزَةِ"", ""البُرْتُقالَةِ""]}",u2_pattern_p015
p016,Ağırlık karşılaştırması,المقارنة بالوزن,{item1} أَخَفُّ/أَثْقَلُ مِنْ {item2},"{ürün1}, {ürün2}den daha hafif/ağır.",أخفّ ve أثقل ağırlık karşılaştırır.,"[72, 89]","[""comparison"", ""weight""]","[{""ar"": ""الكَرَزُ أَخَفُّ مِنَ البُرْتُقالِ."", ""tr"": ""Kiraz portakaldan daha hafif.""}, {""ar"": ""البُرْتُقالُ أَثْقَلُ مِنَ الكَرَزِ."", ""tr"": ""Portakal kirazdan daha ağır.""}]","{""item1"": [""الكَرَزُ"", ""البُرْتُقالُ""], ""item2"": [""البُرْتُقالِ"", ""الكَرَزِ""]}",u2_pattern_p016
p017,Nereden satın aldın?,السؤال عن مكان الشراء,مِنْ أَيْنَ اشْتَرَيْتَ؟,Nereden satın aldın?,Konuşma etkinliğinde alışveriş yerini sormak için kullanılır.,[78],"[""speaking""]","[{""ar"": ""اشْتَرَيْتُ مِنَ السّوقِ."", ""tr"": ""Pazardan satın aldım.""}, {""ar"": ""اشْتَرَيْتُ مِنَ البَقّالَةِ."", ""tr"": ""Bakkaldan satın aldım.""}]",{},u2_pattern_p017
p018,Ne satın aldın?,السؤال عما اشتريته,ماذا اشْتَرَيْتَ؟,Ne satın aldın?,Cevapta satın alınan ürünler sıralanır.,[78],"[""speaking""]","[{""ar"": ""اشْتَرَيْتُ البَطاطا والطَّماطِمَ والبَصَلَ."", ""tr"": ""Patates, domates ve soğan satın aldım.""}, {""ar"": ""اشْتَرَيْتُ السُّكَّرَ والشّايَ والمِلْحَ."", ""tr"": ""Şeker, çay ve tuz satın aldım.""}]",{},u2_pattern_p018
p019,Alışverişe nereye gidiyorsun?,السؤال عن وجهة التسوق,إِلى أَيْنَ تَذْهَبُ لِلتَّسَوُّقِ؟,Alışveriş için nereye gidiyorsun?,İfade yazma bölümünde kullanılır.,"[80, 82]","[""writing"", ""speaking""]","[{""ar"": ""أَذْهَبُ إِلى السّوقِ لِلتَّسَوُّقِ."", ""tr"": ""Alışveriş için pazara gidiyorum.""}]",{},u2_pattern_p019
p020,Alışveriş listesi yazma,إعداد قائمة التسوق,أُعِدُّ قائِمَةَ التَّسَوُّقِ,Alışveriş listesi hazırlarım.,Yazma kazanımı için temel üretim kalıbıdır.,"[83, 93]","[""writing""]","[{""ar"": ""أُعِدُّ قائِمَةَ التَّسَوُّقِ وأَكْتُبُ الحاجاتِ اليَوْمِيَّةَ."", ""tr"": ""Alışveriş listesi hazırlar ve günlük ihtiyaçları yazarım.""}]",{},u2_pattern_p020
p021,Kibarlık kapanışı,إنهاء الحوار,شُكْرًا، مَعَ السَّلامَةِ,"Teşekkürler, güle güle.",Satıcı-müşteri rol oyunlarında kapanış.,[76],"[""dialogue""]","[{""ar"": ""شُكْرًا، مَعَ السَّلامَةِ."", ""tr"": ""Teşekkürler, güle güle.""}]",{},u2_pattern_p021
p022,Hadis-kültür cümlesi,جملة ثقافية,مَنْ غَشَّنا فَلَيْسَ مِنّا,Bizi aldatan bizden değildir.,Ünitedeki alışveriş ahlakı/kültür bağlantısıdır.,[92],"[""culture""]","[{""ar"": ""مَنْ غَشَّنا فَلَيْسَ مِنّا."", ""tr"": ""Bizi aldatan bizden değildir.""}]",{},u2_pattern_p022
