id,ar,ar_clean,tr,pattern_id,difficulty,source_pages,tags,tokens,audio_key
s011,أَنْتَ تَطْلُبُ المِلْحَ.,انت تطلب الملح.,Sen tuz istiyorsun.,p004,A1,[60],"[""verb""]","[""أَنْتَ"", ""تَطْلُبُ"", ""المِلْحَ"", "".""]",u2_sentence_s011
s012,أَنْتِ بِحاجَةٍ إِلى الحَليبِ.,انت بحاجه الي الحليب.,Senin süte ihtiyacın var.,p001,A1,[60],"[""need""]","[""أَنْتِ"", ""بِحاجَةٍ"", ""إِلى"", ""الحَليبِ"", "".""]",u2_sentence_s012
s013,هُوَ بِحاجَةٍ إِلى الخُبْزِ.,هو بحاجه الي الخبز.,Onun ekmeğe ihtiyacı var.,p001,A1,[60],"[""need""]","[""هُوَ"", ""بِحاجَةٍ"", ""إِلى"", ""الخُبْزِ"", "".""]",u2_sentence_s013
s014,هِيَ تُريدُ العَسَلَ.,هي تريد العسل.,O bal istiyor.,p002,A1,[60],"[""request""]","[""هِيَ"", ""تُريدُ"", ""العَسَلَ"", "".""]",u2_sentence_s014
s015,أَنا أُريدُ عُلْبَةَ مِلْحٍ.,انا اريد علبه ملح.,Ben bir kutu tuz istiyorum.,p002,A1,[62],"[""quantity""]","[""أَنا"", ""أُريدُ"", ""عُلْبَةَ"", ""مِلْحٍ"", "".""]",u2_sentence_s015
s016,أَنا بِحاجَةٍ إِلى كيلوغرامٍ مِنَ العَسَلِ.,انا بحاجه الي كيلوغرام من العسل.,Bir kilogram bala ihtiyacım var.,p001,A1,[62],"[""quantity""]","[""أَنا"", ""بِحاجَةٍ"", ""إِلى"", ""كيلوغرامٍ"", ""مِنَ"", ""العَسَلِ"", "".""]",u2_sentence_s016
s017,أَنْتِ تُريدينَ عُلْبَتَيْنِ مِنَ المَكَرونَةِ.,انت تريدين علبتين من المكرونه.,Sen iki kutu makarna istiyorsun.,p002,A1,[62],"[""quantity""]","[""أَنْتِ"", ""تُريدينَ"", ""عُلْبَتَيْنِ"", ""مِنَ"", ""المَكَرونَةِ"", "".""]",u2_sentence_s017
s018,أَنْتَ بِحاجَةٍ إِلى عُلْبَةٍ واحِدَةٍ مِنَ البَيْضِ.,انت بحاجه الي علبه واحده من البيض.,Senin bir kutu yumurtaya ihtiyacın var.,p001,A1,[62],"[""quantity""]","[""أَنْتَ"", ""بِحاجَةٍ"", ""إِلى"", ""عُلْبَةٍ"", ""واحِدَةٍ"", ""مِنَ"", ""البَيْضِ"", "".""]",u2_sentence_s018
s019,هُوَ بِحاجَةٍ إِلى كيلوغرامَيْنِ مِنَ السُّكَّرِ.,هو بحاجه الي كيلوغرامين من السكر.,Onun iki kilogram şekere ihtiyacı var.,p001,A1,[62],"[""quantity""]","[""هُوَ"", ""بِحاجَةٍ"", ""إِلى"", ""كيلوغرامَيْنِ"", ""مِنَ"", ""السُّكَّرِ"", "".""]",u2_sentence_s019
s020,هِيَ تُريدُ ثَلاثَةً مِنَ الخُبْزِ.,هي تريد ثلاثه من الخبز.,O üç ekmek istiyor.,p002,A1,[62],"[""quantity""]","[""هِيَ"", ""تُريدُ"", ""ثَلاثَةً"", ""مِنَ"", ""الخُبْزِ"", "".""]",u2_sentence_s020
s021,أَهْلًا وَسَهْلًا، أَيُّ خِدْمَةٍ؟,اهلا وسهلا، اي خدمه؟,"Hoş geldiniz, nasıl yardımcı olabilirim?",p011,A1,"[64, 67, 76]","[""dialogue""]","[""أَهْلًا"", ""وَسَهْلًا"", ""،"", ""أَيُّ"", ""خِدْمَةٍ"", ""؟""]",u2_sentence_s021
s022,أَنا بِحاجَةٍ إِلى خَضْراواتٍ طازَجَةٍ.,انا بحاجه الي خضراوات طازجه.,Taze sebzelere ihtiyacım var.,p001,A1,[64],"[""vegetable""]","[""أَنا"", ""بِحاجَةٍ"", ""إِلى"", ""خَضْراواتٍ"", ""طازَجَةٍ"", "".""]",u2_sentence_s022
s023,عِنْدي طَماطِمُ، خِيارٌ، جَزَرٌ، باذِنْجانٌ، بَطاطا، بَصَلٌ، فُلْفُلٌ، وفاصوليا.,عندي طماطم، خيار، جزر، باذنجان، بطاطا، بصل، فلفل، وفاصوليا.,"Bende domates, salatalık, havuç, patlıcan, patates, soğan, biber ve fasulye var.",p012,A1,[64],"[""vegetable""]","[""عِنْدي"", ""طَماطِمُ"", ""،"", ""خِيارٌ"", ""،"", ""جَزَرٌ"", ""،"", ""باذِنْجانٌ"", ""،"", ""بَطاطا"", ""،"", ""بَصَلٌ"", ""،"", ""فُلْفُلٌ"", ""،"", ""وفاصوليا"", "".""]",u2_sentence_s023
s024,هَل عِنْدَكَ فَواكِهُ أَيْضًا؟,هل عندك فواكه ايضا؟,Sende meyveler de var mı?,,A1,[64],"[""fruit""]","[""هَل"", ""عِنْدَكَ"", ""فَواكِهُ"", ""أَيْضًا"", ""؟""]",u2_sentence_s024
s025,عِنْدي تُفّاحٌ، بُرْتُقالٌ، مَوْزٌ، عِنَبٌ، كَرَزٌ، ومِشْمِشٌ.,عندي تفاح، برتقال، موز، عنب، كرز، ومشمش.,"Bende elma, portakal, muz, üzüm, kiraz ve kayısı var.",p012,A1,[64],"[""fruit""]","[""عِنْدي"", ""تُفّاحٌ"", ""،"", ""بُرْتُقالٌ"", ""،"", ""مَوْزٌ"", ""،"", ""عِنَبٌ"", ""،"", ""كَرَزٌ"", ""،"", ""ومِشْمِشٌ"", "".""]",u2_sentence_s025
s026,أُريدُ كيلوغرامًا واحِدًا مِنْ كُلِّ نَوْعٍ.,اريد كيلوغراما واحدا من كل نوع.,Her çeşitten bir kilogram istiyorum.,p008,A1,[64],"[""quantity""]","[""أُريدُ"", ""كيلوغرامًا"", ""واحِدًا"", ""مِنْ"", ""كُلِّ"", ""نَوْعٍ"", "".""]",u2_sentence_s026
s027,أُريدُ أَنْ أَشْتَري بَعْضَ الخُضَرِ.,اريد ان اشتري بعض الخضر.,Biraz sebze satın almak istiyorum.,p003,A1,[67],"[""request""]","[""أُريدُ"", ""أَنْ"", ""أَشْتَري"", ""بَعْضَ"", ""الخُضَرِ"", "".""]",u2_sentence_s027
s028,بِكَم الفاصوليا؟,بكم الفاصوليا؟,Fasulye kaç lira?,p005,A1,[67],"[""price""]","[""بِكَم"", ""الفاصوليا"", ""؟""]",u2_sentence_s028
s029,الفاصوليا بِتِسْعِ ليراتٍ.,الفاصوليا بتسع ليرات.,Fasulye dokuz lira.,p006,A1,"[67, 68]","[""price""]","[""الفاصوليا"", ""بِتِسْعِ"", ""ليراتٍ"", "".""]",u2_sentence_s029
s030,هِيَ طازَجَةٌ جِدًّا.,هي طازجه جدا.,O çok taze.,,A1,[67],"[""adjective""]","[""هِيَ"", ""طازَجَةٌ"", ""جِدًّا"", "".""]",u2_sentence_s030
s031,الفاصوليا غالِيَةٌ وأَغْلى مِنَ البَطاطا.,الفاصوليا غاليه واغلي من البطاطا.,Fasulye pahalı ve patatesten daha pahalı.,p014,A1,"[67, 68]","[""comparison""]","[""الفاصوليا"", ""غالِيَةٌ"", ""وأَغْلى"", ""مِنَ"", ""البَطاطا"", "".""]",u2_sentence_s031
s032,أُريدُ كيلوغرامًا واحِدًا فَقَطْ.,اريد كيلوغراما واحدا فقط.,Sadece bir kilogram istiyorum.,p008,A1,"[67, 68]","[""quantity""]","[""أُريدُ"", ""كيلوغرامًا"", ""واحِدًا"", ""فَقَطْ"", "".""]",u2_sentence_s032
s033,العِنَبُ رَخيصٌ اليَوْمَ.,العنب رخيص اليوم.,Üzüm bugün ucuz.,,A1,[67],"[""price""]","[""العِنَبُ"", ""رَخيصٌ"", ""اليَوْمَ"", "".""]",u2_sentence_s033
s034,العِنَبُ أَرْخَصُ مِنَ التُّفّاحِ.,العنب ارخص من التفاح.,Üzüm elmadan daha ucuz.,p013,A1,"[67, 68]","[""comparison""]","[""العِنَبُ"", ""أَرْخَصُ"", ""مِنَ"", ""التُّفّاحِ"", "".""]",u2_sentence_s034
s035,لا، شُكْرًا جَزيلًا. هذا كافٍ.,لا، شكرا جزيلا. هذا كاف.,"Hayır, çok teşekkürler. Bu yeterli.",p010,A1,[67],"[""dialogue""]","[""لا"", ""،"", ""شُكْرًا"", ""جَزيلًا"", ""."", ""هذا"", ""كافٍ"", "".""]",u2_sentence_s035
s036,بِكَم البَطاطا؟,بكم البطاطا؟,Patates kaç lira?,p005,A1,[70],"[""price""]","[""بِكَم"", ""البَطاطا"", ""؟""]",u2_sentence_s036
s037,البَطاطا بِخَمْسِ ليراتٍ.,البطاطا بخمس ليرات.,Patates beş lira.,p006,A1,[70],"[""price""]","[""البَطاطا"", ""بِخَمْسِ"", ""ليراتٍ"", "".""]",u2_sentence_s037
s038,أَيَّ عُلْبَةٍ تُريدُ مِنَ المِشْمِشِ؟,اي علبه تريد من المشمش؟,Kayısıdan hangi kutuyu istiyorsun?,,A1,[70],"[""question""]","[""أَيَّ"", ""عُلْبَةٍ"", ""تُريدُ"", ""مِنَ"", ""المِشْمِشِ"", ""؟""]",u2_sentence_s038
s039,أُريدُ هذِهِ العُلْبَةَ.,اريد هذه العلبه.,Bu kutuyu istiyorum.,p002,A1,[70],"[""answer""]","[""أُريدُ"", ""هذِهِ"", ""العُلْبَةَ"", "".""]",u2_sentence_s039
s040,بِكَم البَيْضَةُ الواحِدَةُ؟,بكم البيضه الواحده؟,Bir yumurta kaç lira?,p005,A1,[70],"[""price""]","[""بِكَم"", ""البَيْضَةُ"", ""الواحِدَةُ"", ""؟""]",u2_sentence_s040
s041,البَيْضَةُ الواحِدَةُ بِليرَتَيْنِ.,البيضه الواحده بليرتين.,Bir yumurta iki lira.,p006,A1,[70],"[""price""]","[""البَيْضَةُ"", ""الواحِدَةُ"", ""بِليرَتَيْنِ"", "".""]",u2_sentence_s041
s042,كَم كيلوغرامًا تُريدُ مِنَ التُّفّاحِ؟,كم كيلوغراما تريد من التفاح؟,Elmadan kaç kilogram istiyorsun?,p007,A1,"[70, 71]","[""quantity""]","[""كَم"", ""كيلوغرامًا"", ""تُريدُ"", ""مِنَ"", ""التُّفّاحِ"", ""؟""]",u2_sentence_s042
s043,أُريدُ ثَلاثَةَ كيلوغراماتٍ.,اريد ثلاثه كيلوغرامات.,Üç kilogram istiyorum.,p008,A1,"[70, 71]","[""quantity""]","[""أُريدُ"", ""ثَلاثَةَ"", ""كيلوغراماتٍ"", "".""]",u2_sentence_s043
s044,بِكَم البَصَلُ؟,بكم البصل؟,Soğan kaç lira?,p005,A1,[71],"[""price""]","[""بِكَم"", ""البَصَلُ"", ""؟""]",u2_sentence_s044
s045,البَصَلُ بِأَرْبَعِ ليراتٍ.,البصل باربع ليرات.,Soğan dört lira.,p006,A1,[71],"[""price""]","[""البَصَلُ"", ""بِأَرْبَعِ"", ""ليراتٍ"", "".""]",u2_sentence_s045
s046,صُنْدوقٌ صَغيرٌ.,صندوق صغير.,Küçük sandık/kasa.,,A1,[72],"[""size""]","[""صُنْدوقٌ"", ""صَغيرٌ"", "".""]",u2_sentence_s046
s047,صُنْدوقٌ كَبيرٌ.,صندوق كبير.,Büyük sandık/kasa.,,A1,[72],"[""size""]","[""صُنْدوقٌ"", ""كَبيرٌ"", "".""]",u2_sentence_s047
s048,كيسٌ خَفيفٌ.,كيس خفيف.,Hafif poşet.,,A1,[72],"[""weight""]","[""كيسٌ"", ""خَفيفٌ"", "".""]",u2_sentence_s048
s049,كيسٌ ثَقيلٌ.,كيس ثقيل.,Ağır poşet.,,A1,[72],"[""weight""]","[""كيسٌ"", ""ثَقيلٌ"", "".""]",u2_sentence_s049
s050,المِشْمِشُ غالٍ.,المشمش غال.,Kayısı pahalı.,,A1,[74],"[""price""]","[""المِشْمِشُ"", ""غالٍ"", "".""]",u2_sentence_s050
s051,المِشْمِشُ أَغْلى مِنَ البَصَلِ.,المشمش اغلي من البصل.,Kayısı soğandan daha pahalı.,p014,A1,[74],"[""comparison""]","[""المِشْمِشُ"", ""أَغْلى"", ""مِنَ"", ""البَصَلِ"", "".""]",u2_sentence_s051
s052,البَصَلُ رَخيصٌ.,البصل رخيص.,Soğan ucuz.,,A1,[74],"[""price""]","[""البَصَلُ"", ""رَخيصٌ"", "".""]",u2_sentence_s052
s053,البَصَلُ أَرْخَصُ مِنَ المِشْمِشِ.,البصل ارخص من المشمش.,Soğan kayısıdan daha ucuz.,p013,A1,[74],"[""comparison""]","[""البَصَلُ"", ""أَرْخَصُ"", ""مِنَ"", ""المِشْمِشِ"", "".""]",u2_sentence_s053
s054,الكَرَزَةُ صَغيرَةٌ.,الكرزه صغيره.,Kiraz küçüktür.,,A1,[74],"[""size""]","[""الكَرَزَةُ"", ""صَغيرَةٌ"", "".""]",u2_sentence_s054
s055,الكَرَزَةُ أَصْغَرُ مِنَ البُرْتُقالَةِ.,الكرزه اصغر من البرتقاله.,Kiraz portakaldan daha küçüktür.,p015,A1,[74],"[""comparison""]","[""الكَرَزَةُ"", ""أَصْغَرُ"", ""مِنَ"", ""البُرْتُقالَةِ"", "".""]",u2_sentence_s055
s056,البُرْتُقالَةُ أَكْبَرُ مِنَ الكَرَزَةِ.,البرتقاله اكبر من الكرزه.,Portakal kirazdan daha büyüktür.,p015,A1,[74],"[""comparison""]","[""البُرْتُقالَةُ"", ""أَكْبَرُ"", ""مِنَ"", ""الكَرَزَةِ"", "".""]",u2_sentence_s056
s057,عُلْبَةُ الحَليبِ غالِيَةٌ.,علبه الحليب غاليه.,Süt kutusu pahalıdır.,,A1,[74],"[""price""]","[""عُلْبَةُ"", ""الحَليبِ"", ""غالِيَةٌ"", "".""]",u2_sentence_s057
s058,عُلْبَةُ الحَليبِ أَغْلى مِنْ عُلْبَةِ المِلْحِ.,علبه الحليب اغلي من علبه الملح.,Süt kutusu tuz kutusundan daha pahalıdır.,p014,A1,[74],"[""comparison""]","[""عُلْبَةُ"", ""الحَليبِ"", ""أَغْلى"", ""مِنْ"", ""عُلْبَةِ"", ""المِلْحِ"", "".""]",u2_sentence_s058
s059,عُلْبَةُ المِلْحِ رَخيصَةٌ.,علبه الملح رخيصه.,Tuz kutusu ucuzdur.,,A1,[74],"[""price""]","[""عُلْبَةُ"", ""المِلْحِ"", ""رَخيصَةٌ"", "".""]",u2_sentence_s059
s060,عُلْبَةُ المِلْحِ أَرْخَصُ مِنْ عُلْبَةِ الحَليبِ.,علبه الملح ارخص من علبه الحليب.,Tuz kutusu süt kutusundan daha ucuzdur.,p013,A1,[74],"[""comparison""]","[""عُلْبَةُ"", ""المِلْحِ"", ""أَرْخَصُ"", ""مِنْ"", ""عُلْبَةِ"", ""الحَليبِ"", "".""]",u2_sentence_s060
s061,أَنا بِحاجَةٍ إِلى كيلو زَيْتونٍ وعُلْبَةِ مَكَرونَةٍ.,انا بحاجه الي كيلو زيتون وعلبه مكرونه.,Bir kilo zeytin ve bir kutu makarnaya ihtiyacım var.,p001,A1,[76],"[""need""]","[""أَنا"", ""بِحاجَةٍ"", ""إِلى"", ""كيلو"", ""زَيْتونٍ"", ""وعُلْبَةِ"", ""مَكَرونَةٍ"", "".""]",u2_sentence_s061
s062,المَوْزُ بِعَشْرِ ليراتٍ.,الموز بعشر ليرات.,Muz on lira.,p006,A1,[76],"[""price""]","[""المَوْزُ"", ""بِعَشْرِ"", ""ليراتٍ"", "".""]",u2_sentence_s062
s063,المَوْزُ أَغْلى مِنَ المِشْمِشِ.,الموز اغلي من المشمش.,Muz kayısıdan daha pahalıdır.,p014,A1,[76],"[""comparison""]","[""المَوْزُ"", ""أَغْلى"", ""مِنَ"", ""المِشْمِشِ"", "".""]",u2_sentence_s063
s064,المِشْمِشُ أَرْخَصُ مِنَ المَوْزِ اليَوْمَ.,المشمش ارخص من الموز اليوم.,Kayısı bugün muzdan daha ucuzdur.,p013,A1,[76],"[""comparison""]","[""المِشْمِشُ"", ""أَرْخَصُ"", ""مِنَ"", ""المَوْزِ"", ""اليَوْمَ"", "".""]",u2_sentence_s064
s065,أَذْهَبُ إِلى السّوقِ لِلتَّسَوُّقِ.,اذهب الي السوق للتسوق.,Alışveriş için pazara giderim.,p019,A1,[80],"[""writing""]","[""أَذْهَبُ"", ""إِلى"", ""السّوقِ"", ""لِلتَّسَوُّقِ"", "".""]",u2_sentence_s065
s066,أَشْتَري الخُبْزَ والسُّكَّرَ والمِلْحَ مِنَ البَقّالَةِ.,اشتري الخبز والسكر والملح من البقاله.,"Bakkaldan ekmek, şeker ve tuz satın alırım.",,A1,[80],"[""writing""]","[""أَشْتَري"", ""الخُبْزَ"", ""والسُّكَّرَ"", ""والمِلْحَ"", ""مِنَ"", ""البَقّالَةِ"", "".""]",u2_sentence_s066
s067,أُريدُ كيلو تُفّاحٍ وكيلو بَطاطا.,اريد كيلو تفاح وكيلو بطاطا.,Bir kilo elma ve bir kilo patates istiyorum.,p008,A1,[80],"[""writing""]","[""أُريدُ"", ""كيلو"", ""تُفّاحٍ"", ""وكيلو"", ""بَطاطا"", "".""]",u2_sentence_s067
s068,بِكَم كيلو المَوْزِ؟,بكم كيلو الموز؟,Bir kilo muz kaç lira?,p005,A1,[80],"[""price""]","[""بِكَم"", ""كيلو"", ""المَوْزِ"", ""؟""]",u2_sentence_s068
s069,التُّفّاحُ أَرْخَصُ مِنَ المَوْزِ.,التفاح ارخص من الموز.,Elma muzdan daha ucuzdur.,p013,A1,"[80, 82]","[""comparison""]","[""التُّفّاحُ"", ""أَرْخَصُ"", ""مِنَ"", ""المَوْزِ"", "".""]",u2_sentence_s069
s070,أَنا بِحاجَةٍ إِلى عُلْبَةِ شايٍ أَيْضًا.,انا بحاجه الي علبه شاي ايضا.,Ayrıca bir kutu çaya ihtiyacım var.,p001,A1,[80],"[""need""]","[""أَنا"", ""بِحاجَةٍ"", ""إِلى"", ""عُلْبَةِ"", ""شايٍ"", ""أَيْضًا"", "".""]",u2_sentence_s070
s071,مَنْ غَشَّنا فَلَيْسَ مِنّا.,من غشنا فليس منا.,Bizi aldatan bizden değildir.,p022,A1,[92],"[""culture""]","[""مَنْ"", ""غَشَّنا"", ""فَلَيْسَ"", ""مِنّا"", "".""]",u2_sentence_s071
