id,ar,ar_clean,tr,category,pos,emoji,translit,source_pages,tags,examples,note_tr,audio_key
v012,صُنْدوق,صندوق,kasa / sandık,place_role,isim,📦,ṣundūq,"[72, 73]","[""object""]","[""صُنْدوقٌ كَبيرٌ.""]",,u2_vocab_v012
v013,كيس,كيس,poşet / torba,place_role,isim,🛍️,kīs,"[72, 73]","[""object""]","[""كيسٌ خَفيفٌ.""]",,u2_vocab_v013
v014,خِدْمَة,خدمه,hizmet,place_role,isim,🤝,khidma,"[64, 67, 76]","[""dialogue""]","[""أَهْلًا وَسَهْلًا، أَيُّ خِدْمَةٍ؟""]",,u2_vocab_v014
v015,مُنْتَج,منتج,ürün,place_role,isim,🏷️,muntaj,[69],"[""object""]","[""هذا المُنْتَجُ رَخيصٌ.""]",,u2_vocab_v015
v016,خُبْز,خبز,ekmek,grocery,isim,🍞,khubz,"[52, 56, 58]","[""food""]","[""أُريدُ خُبْزًا طازَجًا.""]",,u2_vocab_v016
v017,سُكَّر,سكر,şeker,grocery,isim,🍚,sukkar,"[52, 56, 58]","[""food""]","[""أَطْلُبُ مِنْكَ كيلو سُكَّرٍ.""]",,u2_vocab_v017
v018,مِلْح,ملح,tuz,grocery,isim,🧂,milḥ,"[56, 58, 74]","[""food""]","[""أُريدُ عُلْبَةَ مِلْحٍ.""]",,u2_vocab_v018
v019,شاي,شاي,çay,grocery,isim,🍵,shāy,"[56, 58]","[""drink""]","[""أُريدُ عُلْبَتَيْنِ مِنَ الشّايِ.""]",,u2_vocab_v019
v020,حَليب,حليب,süt,grocery,isim,🥛,ḥalīb,"[57, 60, 74]","[""drink""]","[""أَنْتِ بِحاجَةٍ إِلى الحَليبِ.""]",,u2_vocab_v020
v021,عَسَل,عسل,bal,grocery,isim,🍯,ʿasal,"[58, 62]","[""food""]","[""أَنا بِحاجَةٍ إِلى كيلوغرامٍ مِنَ العَسَلِ.""]",,u2_vocab_v021
v022,ماء,ماء,su,grocery,isim,💧,mā’,"[57, 58]","[""drink""]","[""أَنا بِحاجَةٍ إِلى ماءٍ.""]",,u2_vocab_v022
v023,بَيْض,بيض,yumurta,grocery,isim,🥚,bayḍ,"[58, 62]","[""food""]","[""أَنا بِحاجَةٍ إِلى عُلْبَةٍ مِنَ البَيْضِ.""]",,u2_vocab_v023
v024,مَكَرونَة,مكرونه,makarna,grocery,isim,🍝,makarūna,"[62, 76]","[""food""]","[""أَنا بِحاجَةٍ إِلى عُلْبَةِ مَكَرونَةٍ.""]",,u2_vocab_v024
v025,زَيْتون,زيتون,zeytin,grocery,isim,🫒,zaytūn,[76],"[""food""]","[""أَنا بِحاجَةٍ إِلى كيلو زَيْتونٍ.""]",,u2_vocab_v025
v026,دَجاجَة,دجاجه,tavuk,grocery,isim,🍗,dajāja,[75],"[""food""]","[""الدَّجاجَةُ غالِيَةٌ.""]",,u2_vocab_v026
v027,حاجات يَوْمِيَّة,حاجات يوميه,günlük ihtiyaçlar,grocery,ifade,🧺,ḥājāt yawmiyya,[93],"[""phrase""]","[""أَكْتُبُ الحاجاتِ اليَوْمِيَّةَ.""]",,u2_vocab_v027
v028,تُفّاح,تفاح,elma,fruit,isim,🍎,tuffāḥ,"[64, 65, 67, 82]","[""fruit""]","[""التُّفّاحُ أَرْخَصُ مِنَ المَوْزِ.""]",,u2_vocab_v028
v029,بُرْتُقال,برتقال,portakal,fruit,isim,🍊,burtuqāl,"[64, 65]","[""fruit""]","[""عِنْدي بُرْتُقالٌ.""]",,u2_vocab_v029
v030,مَوْز,موز,muz,fruit,isim,🍌,mawz,"[64, 76, 82]","[""fruit""]","[""المَوْزُ بِعَشْرِ ليراتٍ.""]",,u2_vocab_v030
v031,عِنَب,عنب,üzüm,fruit,isim,🍇,ʿinab,"[64, 67]","[""fruit""]","[""العِنَبُ رَخيصٌ اليَوْمَ.""]",,u2_vocab_v031
v032,كَرَز,كرز,kiraz,fruit,isim,🍒,karaz,"[64, 74]","[""fruit""]","[""الكَرَزَةُ صَغيرَةٌ.""]",,u2_vocab_v032
v033,مِشْمِش,مشمش,kayısı,fruit,isim,🍑,mishmish,"[64, 76, 83]","[""fruit""]","[""المِشْمِشُ أَرْخَصُ مِنَ المَوْزِ.""]",,u2_vocab_v033
v034,طَماطِم,طماطم,domates,vegetable,isim,🍅,ṭamāṭim,"[64, 65]","[""vegetable""]","[""عِنْدي طَماطِمُ طازَجَةٌ.""]",,u2_vocab_v034
v035,خِيار,خيار,salatalık,vegetable,isim,🥒,khiyār,"[64, 71]","[""vegetable""]","[""الخِيارُ بِخَمْسِ ليراتٍ.""]",,u2_vocab_v035
v036,جَزَر,جزر,havuç,vegetable,isim,🥕,jazar,"[64, 65]","[""vegetable""]","[""الجَزَرُ رَخيصٌ.""]",,u2_vocab_v036
v037,باذِنْجان,باذنجان,patlıcan,vegetable,isim,🍆,bādhinjān,"[64, 65]","[""vegetable""]","[""عِنْدي باذِنْجانٌ.""]",,u2_vocab_v037
v038,بَطاطا,بطاطا,patates,vegetable,isim,🥔,baṭāṭā,"[64, 67, 68]","[""vegetable""]","[""الفاصوليا أَغْلى مِنَ البَطاطا.""]",,u2_vocab_v038
v039,بَصَل,بصل,soğan,vegetable,isim,🧅,baṣal,"[64, 71, 74]","[""vegetable""]","[""البَصَلُ بِأَرْبَعِ ليراتٍ.""]",,u2_vocab_v039
v040,فُلْفُل,فلفل,biber,vegetable,isim,🫑,fulful,"[64, 65]","[""vegetable""]","[""عِنْدي فُلْفُلٌ وفاصوليا.""]",,u2_vocab_v040
v041,فاصوليا,فاصوليا,fasulye,vegetable,isim,🫛,fāṣūliyā,"[64, 67, 68]","[""vegetable""]","[""الفاصوليا بِتِسْعِ ليراتٍ.""]",,u2_vocab_v041
v042,كيلو,كيلو,kilo,quantity,ölçü,⚖️,kīlū,"[56, 80]","[""quantity""]","[""أُريدُ كيلو تُفّاحٍ.""]",,u2_vocab_v042
v043,كيلوغرام,كيلوغرام,kilogram,quantity,ölçü,⚖️,kīlūghrām,"[52, 62, 64]","[""quantity""]","[""أُريدُ كيلوغرامًا واحِدًا.""]",,u2_vocab_v043
v044,كيلوغرامان,كيلوغرامان,iki kilogram,quantity,ölçü,⚖️,kīlūghrāmān,"[62, 63]","[""quantity""]","[""هو بِحاجَةٍ إِلى كيلوغرامَيْنِ مِنَ السُّكَّرِ.""]",,u2_vocab_v044
v045,كيلوغرامات,كيلوغرامات,kilogramlar,quantity,ölçü,⚖️,kīlūghrāmāt,"[70, 71, 76]","[""quantity""]","[""أُريدُ ثَلاثَةَ كيلوغراماتٍ.""]",,u2_vocab_v045
v046,عُلْبَة,علبه,kutu / paket,quantity,kap,📦,ʿulba,"[52, 56, 62]","[""container""]","[""أُريدُ عُلْبَةَ مِلْحٍ.""]",,u2_vocab_v046
v047,عُلْبَتان,علبتان,iki kutu,quantity,kap,📦,ʿulbatān,"[56, 63]","[""container""]","[""أُريدُ عُلْبَتَيْنِ مِنَ الشّايِ.""]",,u2_vocab_v047
v048,عُلَب,علب,kutular,quantity,kap,📦,ʿulab,[84],"[""container""]","[""أُريدُ عُلَبَ شايٍ.""]",,u2_vocab_v048
v049,ليرة,ليره,lira,quantity,para,₺,līra,[70],"[""money""]","[""البَيْضَةُ الواحِدَةُ بِليرَتَيْنِ.""]",,u2_vocab_v049
v050,ليرات,ليرات,liralar,quantity,para,₺,līrāt,"[67, 70, 71]","[""money""]","[""البَصَلُ بِأَرْبَعِ ليراتٍ.""]",,u2_vocab_v050
v051,واحِد,واحد,bir,quantity,sayı,1,wāḥid,"[64, 67]","[""number""]","[""كيلوغرامًا واحِدًا فقط.""]",,u2_vocab_v051
v052,ثَلاثَة,ثلاثه,üç,quantity,sayı,3,thalātha,"[62, 70, 76]","[""number""]","[""أُريدُ ثَلاثَةَ كيلوغراماتٍ.""]",,u2_vocab_v052
v053,خَمْس,خمس,beş,quantity,sayı,5,khams,"[70, 71]","[""number""]","[""البَطاطا بِخَمْسِ ليراتٍ.""]",,u2_vocab_v053
v054,سَبْع,سبع,yedi,quantity,sayı,7,sabʿ,[84],"[""number""]","[""التُّفّاحُ بِسَبْعِ ليراتٍ.""]",,u2_vocab_v054
v055,تِسْع,تسع,dokuz,quantity,sayı,9,tisʿ,[67],"[""number""]","[""الفاصوليا بِتِسْعِ ليراتٍ.""]",,u2_vocab_v055
v056,عَشْر,عشر,on,quantity,sayı,10,ʿashr,"[76, 80]","[""number""]","[""المَوْزُ بِعَشْرِ ليراتٍ.""]",,u2_vocab_v056
v057,أَذْهَبُ,اذهب,giderim,verb_phrase,fiil,🚶,adhhabu,"[56, 80]","[""verb""]","[""أَذْهَبُ إِلى السّوقِ.""]",,u2_vocab_v057
v058,أَشْتَري,اشتري,satın alırım,verb_phrase,fiil,🛍️,ashtarī,"[52, 80]","[""verb""]","[""أَشْتَري الخُبْزَ والسُّكَّرَ.""]",,u2_vocab_v058
v059,أُريدُ,اريد,istiyorum,verb_phrase,fiil,🙋,urīdu,"[52, 56, 64, 67]","[""verb""]","[""أُريدُ كيلوغرامًا واحِدًا.""]",,u2_vocab_v059
v060,أَطْلُبُ,اطلب,isterim / talep ederim,verb_phrase,fiil,🧾,aṭlubu,"[56, 60]","[""verb""]","[""أَطْلُبُ مِنْكَ كيلو سُكَّرٍ.""]",,u2_vocab_v060
v061,بِحاجَةٍ إِلى,بحاجه الي,...e ihtiyacı var,verb_phrase,kalıp,🔎,bi-ḥāja ilā,"[52, 56, 60]","[""pattern""]","[""أَنا بِحاجَةٍ إِلى حَليبٍ.""]",,u2_vocab_v061
v062,تُريدُ,تريد,istiyor,verb_phrase,fiil,❓,turīdu,"[60, 61]","[""verb""]","[""هي تُريدُ عَسَلًا.""]",,u2_vocab_v062
v063,تُريدين,تريدين,istiyorsun (kadın),verb_phrase,fiil,❓,turīdīna,"[56, 77]","[""verb""]","[""هل تُريدينَ شيئًا آخَر؟""]",,u2_vocab_v063
v064,عِنْدي,عندي,bende var / yanımda var,verb_phrase,ifade,✅,ʿindī,[64],"[""phrase""]","[""عِنْدي تُفّاحٌ وبُرْتُقالٌ.""]",,u2_vocab_v064
v065,تَفَضَّل,تفضل,buyurun,verb_phrase,ifade,🤲,tafaḍḍal,"[76, 77]","[""dialogue""]","[""تَفَضَّل، هذا هو البَصَلُ.""]",,u2_vocab_v065
v066,شُكْرًا,شكرا,teşekkürler,verb_phrase,ifade,🙏,shukran,"[67, 76, 87]","[""dialogue""]","[""لا، شُكْرًا لَكَ.""]",,u2_vocab_v066
v067,مَعَ السَّلامَة,مع السلامه,güle güle,verb_phrase,ifade,👋,maʿa as-salāma,[76],"[""dialogue""]","[""شُكْرًا، مَعَ السَّلامَةِ.""]",,u2_vocab_v067
v068,هذا كافٍ,هذا كاف,bu yeterli,verb_phrase,ifade,👌,hādhā kāfin,[67],"[""dialogue""]","[""لا، شُكْرًا جَزيلًا. هذا كافٍ.""]",,u2_vocab_v068
v069,شيء آخَر,شيء اخر,başka bir şey,verb_phrase,ifade,➕,shay’ ākhar,"[56, 76, 77]","[""dialogue""]","[""هل تُريدُ شيئًا آخَر؟""]",,u2_vocab_v069
v070,أَيْضًا,ايضا,ayrıca / de,verb_phrase,zarf,➕,ayḍan,"[56, 64]","[""adverb""]","[""أُريدُ خُبْزًا طازَجًا أَيْضًا.""]",,u2_vocab_v070
v071,اليَوْم,اليوم,bugün,verb_phrase,zarf,📅,al-yawm,"[67, 82]","[""time""]","[""العِنَبُ رَخيصٌ اليَوْمَ.""]",,u2_vocab_v071
v072,الآن,الان,şimdi,verb_phrase,zarf,⏱️,al-ān,[56],"[""time""]","[""سَأَذْهَبُ الآنَ.""]",,u2_vocab_v072
v073,طازَج,طازج,taze,adjective_comparison,sıfat,🌿,ṭāzaj,"[56, 64, 67]","[""adjective""]","[""الخُبْزُ طازَجٌ.""]",,u2_vocab_v073
v074,رَخيص,رخيص,ucuz,adjective_comparison,sıfat,🏷️,rakhīṣ,"[67, 74]","[""adjective""]","[""العِنَبُ رَخيصٌ اليَوْمَ.""]",,u2_vocab_v074
v075,غالٍ,غال,pahalı,adjective_comparison,sıfat,💰,ghālin,"[67, 74]","[""adjective""]","[""المِشْمِشُ غالٍ.""]",,u2_vocab_v075
v076,أَرْخَصُ مِن,ارخص من,...den daha ucuz,adjective_comparison,karşılaştırma,⬇️,arkhaṣu min,"[52, 67, 74]","[""comparison""]","[""البَصَلُ أَرْخَصُ مِنَ المِشْمِشِ.""]",,u2_vocab_v076
v077,أَغْلى مِن,اغلي من,...den daha pahalı,adjective_comparison,karşılaştırma,⬆️,aghlā min,"[52, 67, 74]","[""comparison""]","[""المِشْمِشُ أَغْلى مِنَ البَصَلِ.""]",,u2_vocab_v077
v078,كَبير,كبير,büyük,adjective_comparison,sıfat,🔷,kabīr,"[52, 72]","[""adjective""]","[""صُنْدوقٌ كَبيرٌ.""]",,u2_vocab_v078
v079,صَغير,صغير,küçük,adjective_comparison,sıfat,🔹,ṣaghīr,"[52, 72]","[""adjective""]","[""صُنْدوقٌ صَغيرٌ.""]",,u2_vocab_v079
v080,أَكْبَرُ مِن,اكبر من,...den daha büyük,adjective_comparison,karşılaştırma,↗️,akbaru min,"[52, 72, 74]","[""comparison""]","[""البُرْتُقالَةُ أَكْبَرُ مِنَ الكَرَزَةِ.""]",,u2_vocab_v080
v081,أَصْغَرُ مِن,اصغر من,...den daha küçük,adjective_comparison,karşılaştırma,↘️,aṣgharu min,"[52, 72, 74]","[""comparison""]","[""الكَرَزَةُ أَصْغَرُ مِنَ البُرْتُقالَةِ.""]",,u2_vocab_v081
v082,خَفيف,خفيف,hafif,adjective_comparison,sıfat,🪶,khafīf,[72],"[""adjective""]","[""كيسٌ خَفيفٌ.""]",,u2_vocab_v082
v083,ثَقيل,ثقيل,ağır,adjective_comparison,sıfat,🏋️,thaqīl,[72],"[""adjective""]","[""كيسٌ ثَقيلٌ.""]",,u2_vocab_v083
v084,أَخَفُّ مِن,اخف من,...den daha hafif,adjective_comparison,karşılaştırma,🪶,akhaffu min,"[72, 89]","[""comparison""]","[""الكَرَزُ أَخَفُّ مِنَ البُرْتُقالِ.""]",,u2_vocab_v084
v085,أَثْقَلُ مِن,اثقل من,...den daha ağır,adjective_comparison,karşılaştırma,🏋️,athqalu min,"[72, 89]","[""comparison""]","[""البُرْتُقالُ أَثْقَلُ مِنَ الكَرَزِ.""]",,u2_vocab_v085
v086,أَخْضَر,اخضر,yeşil,adjective_comparison,sıfat,🟢,akhḍar,[91],"[""adjective""]","[""الخِيارُ أَخْضَرُ.""]",,u2_vocab_v086
v087,أَقَلّ,اقل,daha az,adjective_comparison,karşılaştırma,➖,aqall,[73],"[""comparison""]","[""هذا أَقَلُّ.""]",,u2_vocab_v087
v088,أَقْوى,اقوي,daha güçlü,adjective_comparison,karşılaştırma,💪,aqwā,[75],"[""comparison""]","[""هذا أَقْوى.""]",,u2_vocab_v088
v089,بِكَم؟,بكم؟,kaç lira?,question_word,soru,❓,bi-kam,"[52, 67, 70, 71]","[""question""]","[""بِكَم البَصَلُ؟""]",,u2_vocab_v089
v090,كَم؟,كم؟,ne kadar? / kaç?,question_word,soru,❓,kam,"[70, 71]","[""question""]","[""كَم كيلوغرامًا تُريدُ؟""]",,u2_vocab_v090
v091,ماذا؟,ماذا؟,ne?,question_word,soru,❓,mādhā,"[54, 64]","[""question""]","[""ماذا تُريدُ؟""]",,u2_vocab_v091
v092,هَل؟,هل؟,mi?,question_word,soru,❓,hal,"[56, 67]","[""question""]","[""هَل تُريدُ شيئًا آخَر؟""]",,u2_vocab_v092
v093,أَيْنَ؟,اين؟,nerede? / nereye?,question_word,soru,❓,ayna,[82],"[""question""]","[""إِلى أَيْنَ تَذْهَبُ لِلتَّسَوُّقِ؟""]",,u2_vocab_v093
v094,أَيّ؟,اي؟,hangi?,question_word,soru,❓,ayy,"[52, 64, 67]","[""question""]","[""أَيُّ خِدْمَةٍ؟""]",,u2_vocab_v094
v095,مِن,من,-den / -dan,question_word,edat,↩️,min,"[52, 67, 74]","[""preposition""]","[""أَرْخَصُ مِنَ التُّفّاحِ.""]",,u2_vocab_v095
v096,إِلى,الي,-e / -a,question_word,edat,➡️,ilā,"[52, 56, 60]","[""preposition""]","[""أَنا بِحاجَةٍ إِلى حَليبٍ.""]",,u2_vocab_v096
v097,بِـ,ب,ile / fiyat bildirir,question_word,edat,₺,bi-,"[67, 70, 71]","[""preposition""]","[""البَصَلُ بِأَرْبَعِ ليراتٍ.""]",,u2_vocab_v097
v098,في,في,-de / içinde,question_word,edat,📍,fī,[67],"[""preposition""]","[""في السّوقِ.""]",,u2_vocab_v098
